logFC.t,AveExpr.t,t.t,P.Value.t,adj.P.Val.t,B.t,#NAME?,gene,ID,logFC.s,AveExpr.s,t.s,P.Value.s,adj.P.Val.s,B.s,#NAME?,UniProtID
-1.552527379,13.03965184,-5.125489701,0.000256567,0.037023679,0.770429252,1.431520424,NAA10,sp|P41227|NAA10_HUMAN,-1.433215195,12.96476274,-4.035603446,0.00177694,0.212316394,-1.0110167,0.673016471,P41227
-0.646620642,15.14127455,-5.087293439,0.000273275,0.037442871,0.71111346,1.426630857,FAK2,sp|Q14289|FAK2_HUMAN,-0.575063866,14.82208472,-2.80930895,0.016269272,0.483041314,-3.069886097,0.316015723,Q14289
-0.807554697,16.814987,-5.068239338,0.000282034,0.037442871,0.681438245,1.426630857,NSF1C,sp|Q9UNZ2|NSF1C_HUMAN,-0.08915128,16.73896107,-0.588389032,0.567583769,0.914734232,-5.972894162,0.038705068,Q9UNZ2
-0.8932698,14.44492388,-5.013699332,0.000308775,0.039416279,0.596182938,1.404324382,CSN3,sp|Q9UNS2|CSN3_HUMAN,-0.084799818,14.36558264,-0.332546679,0.745426142,0.965375638,-6.092705678,0.015303665,Q9UNS2
-1.082084869,15.42319237,-4.958209628,0.000338727,0.040014507,0.508969038,1.397782533,CCD83,sp|Q8IWF9|CCD83_HUMAN,-0.717783298,15.59213556,-6.177786572,5.57E-05,0.027646947,2.151106388,1.558352815,Q8IWF9
0.974722964,30.53671821,4.846023642,0.00040898,0.040014507,0.331202513,1.397782533,FINC,sp|P02751|FINC_HUMAN,0.43473129,30.78731638,2.940542599,0.012799107,0.456776732,-2.848571106,0.340296027,P02751
1.181039182,23.1438578,4.868040869,0.000394075,0.040014507,0.3662412,1.397782533,F13A,sp|P00488|F13A_HUMAN,0.462686687,23.29265493,2.578735707,0.024767612,0.54081384,-3.455113406,0.266952203,P00488
0.728935184,21.95572428,4.897983317,0.000374713,0.040014507,0.413774497,1.397782533,IPSP,sp|P05154|IPSP_HUMAN,0.079944454,22.04347717,0.593598237,0.564209701,0.914734232,-5.969796493,0.038705068,P05154
-1.097664031,16.17570041,-4.912528677,0.00036567,0.040014507,0.436815896,1.397782533,RD23A,sp|P54725|RD23A_HUMAN,-0.076069952,16.24840293,-0.317251795,0.756706309,0.967217052,-6.097814924,0.014476056,P54725
0.66204619,14.48087808,4.844676387,0.000409911,0.040014507,0.329056089,1.397782533,DCUP,sp|P06132|DCUP_HUMAN,0.091822562,14.36606019,0.307254134,0.76411181,0.968090739,-6.101026969,0.014083934,P06132
-0.903123187,12.95864094,-4.965923872,0.000334387,0.040014507,0.521122077,1.397782533,CSN7B,sp|Q9H9Q2|CSN7B_HUMAN,0.078463706,12.87147325,0.249666798,0.807224021,0.974324183,-6.117554711,0.011296518,Q9H9Q2
-1.303307403,10.01395451,-4.883686447,0.00038383,0.040014507,0.391095351,1.397782533,PSD10,sp|O75832|PSD10_HUMAN,0.00080757,10.21577348,0.003020575,0.997641407,0.999984155,-6.149809545,6.88E-06,O75832
0.64368983,19.18655647,4.813983406,0.000431733,0.040940622,0.280082665,1.387845564,TFR1,sp|P02786|TFR1_HUMAN,0.355548979,19.4466487,2.286080716,0.041984981,0.578208097,-3.932686759,0.237915831,P02786
-0.940397976,12.95363987,-4.732758781,0.000495557,0.043283016,0.14980432,1.363682484,KPSH1,sp|P11801|KPSH1_HUMAN,-1.293413828,13.1791733,-6.743591528,2.48E-05,0.016471192,2.860242589,1.783274968,P11801
1.329450233,12.30675803,4.76235104,0.000471231,0.043283016,0.197381214,1.363682484,ZN738,sp|Q8NE65|ZN738_HUMAN,1.19152246,12.41733867,4.704799256,0.000563331,0.116856007,0.05463935,0.932348959,Q8NE65
-1.189674073,14.5131022,-4.741895681,0.000487909,0.043283016,0.164507904,1.363682484,RD23B,sp|P54727|RD23B_HUMAN,-0.220299488,14.60382252,-0.833128555,0.421643981,0.871380058,-5.800441989,0.059792383,P54727
-0.538552563,15.5661411,-4.667685063,0.000553787,0.04712869,0.044731854,1.326714634,FAK1,sp|Q05397|FAK1_HUMAN,-0.371809633,15.4939011,-2.70225994,0.019780332,0.519263571,-3.249448535,0.284612145,Q05397
-1.011470958,16.84050839,-4.629631549,0.000591113,0.047563809,-0.016995385,1.32272337,RAB32,sp|Q13637|RAB32_HUMAN,-1.030976921,16.86297574,-4.3920727,0.000956888,0.144359673,-0.435591727,0.840554112,Q13637
-0.617431796,13.22936337,-4.646099884,0.000574647,0.047563809,0.009743638,1.32272337,CIAO1,sp|O76071|CIAO1_HUMAN,0.140671236,13.31730178,0.773786553,0.45458307,0.888741885,-5.847195399,0.051224352,O76071
-0.757562142,14.4533969,-4.61910822,0.000601892,0.047563809,-0.034101969,1.32272337,PSD13,sp|Q9UNM6|PSD13_HUMAN,-0.136276409,14.45352042,-0.541004147,0.598770143,0.924268459,-5.999888657,0.034201867,Q9UNM6
-0.841070057,13.62787477,-4.502324856,0.000736268,0.054303853,-0.22498707,1.265169351,TATD3,sp|Q17R31|TATD3_HUMAN,-0.819623975,13.29401824,-3.69958699,0.003226113,0.254939745,-1.566960634,0.593562453,Q17R31
1.145186513,11.22225095,4.507341805,0.000729895,0.054303853,-0.216747934,1.265169351,TSN2,sp|O60636|TSN2_HUMAN,-0.689003942,11.40009427,-1.638137184,0.128289243,0.704379028,-4.90357924,0.152193583,O60636
0.682907663,14.53455478,4.504099784,0.000734007,0.054303853,-0.222071783,1.265169351,EIF3I,sp|Q13347|EIF3I_HUMAN,0.072379934,14.78628061,0.503448831,0.624099471,0.932637419,-6.019755348,0.030287164,Q13347
-0.747506294,15.37198365,-4.428156548,0.000837551,0.057913182,-0.347187838,1.237222573,ORC3,sp|Q9UBD5|ORC3_HUMAN,-1.004063338,15.50559654,-5.764550184,0.000103404,0.03813293,1.59963844,1.418699824,Q9UBD5
1.175279152,13.88917078,4.443106442,0.000816027,0.057913182,-0.322496827,1.237222573,SMC1A,sp|Q14683|SMC1A_HUMAN,0.938023739,13.70879573,3.144227481,0.008820844,0.4123434,-2.503681336,0.384740952,Q14683
-1.103237565,11.65024948,-4.428248582,0.000837417,0.057913182,-0.347035746,1.237222573,AP3D1,sp|O14617|AP3D1_HUMAN,-0.505289319,11.45321688,-1.413274753,0.183919144,0.749352193,-5.197161553,0.125314017,O14617
1.088992797,16.47100007,4.384294805,0.000904181,0.061244429,-0.419799325,1.212933408,ATIF1,sp|Q9UII2|ATIF1_HUMAN,0.115318183,16.78232243,0.335085292,0.743559775,0.965375638,-6.091834835,0.015303665,Q9UII2
0.832042842,15.5241237,4.34366875,0.000970821,0.062356121,-0.487277284,1.205120911,KCRU,sp|P12532|KCRU_HUMAN,0.716360033,15.48619821,3.161129475,0.008552859,0.405527701,-2.475033498,0.391979474,P12532
-0.928927702,14.26460427,-4.342033025,0.000973609,0.062356121,-0.489998579,1.205120911,CSN5,sp|Q92905|CSN5_HUMAN,-0.221608324,14.2409117,-1.372679619,0.195882995,0.752526853,-5.247049662,0.123477998,Q92905
0.795304973,14.31479492,4.340075248,0.000976956,0.062356121,-0.493256106,1.205120911,EST2,sp|O00748|EST2_HUMAN,0.064228533,14.36691507,0.256231072,0.802272978,0.974083016,-6.115841137,0.011404029,O00748
-1.158348501,13.77109865,-4.318365204,0.00101489,0.063555116,-0.529411831,1.196849482,MYLIP,sp|Q8WY64|MYLIP_HUMAN,-1.28218058,13.66449196,-6.146864035,5.83E-05,0.027646947,2.110830859,1.558352815,Q8WY64
-0.696714994,14.88180076,-4.264442513,0.001115879,0.065439321,-0.619469369,1.184161215,CF157,sp|Q5JU67|CF157_HUMAN,-0.681398253,14.64645801,-5.260974197,0.000226898,0.062756149,0.88870299,1.202343712,Q5JU67
0.564427475,16.89520183,4.270520026,0.001103993,0.065439321,-0.609301205,1.184161215,DHX34,sp|Q14147|DHX34_HUMAN,0.615595406,16.96324243,3.933809739,0.002126208,0.228628441,-1.178203869,0.640869744,Q14147
-0.884806884,27.4640142,-4.240858202,0.001163278,0.065439321,-0.658970425,1.184161215,CO9,sp|P02748|CO9_HUMAN,-0.574666116,27.39691812,-3.828622721,0.002562331,0.236232638,-1.352135381,0.6266601,P02748
