pathway,pval,padj,log2err,ES,NES,size
Cdc42 GTPase complex,0.469262295,0.963907674,0.083836106,0.356522847,0.988955715,21
Cell body,0.998230088,1,0.040166098,-0.167915639,-0.639109277,106
Cell cortex,0.278937381,0.864557346,0.110122264,-0.299409448,-1.095125915,80
Cell cortex part,0.050943396,0.695239731,0.276500599,-0.438026849,-1.427200955,43
Cell division site,0.813229572,1,0.053897903,-0.272283708,-0.754477965,20
Cell division site part,0.740740741,1,0.058345278,-0.289737794,-0.793042144,19
Cell junction,0.008610723,0.309490872,0.380730401,-0.42427484,-1.546754214,79
Cell leading edge,0.974418605,1,0.053787281,0.179564931,0.713353406,125
Cell outer membrane,0.407725322,0.941867001,0.094356364,0.335500794,1.02369414,32
Cell periphery,0.262435678,0.85873256,0.107554375,-0.252222692,-1.075425054,289
Cell plate,0.645914397,1,0.064794337,-0.312549846,-0.877116463,21
Cell pole,0.883268482,1,0.050092287,-0.248372078,-0.688220611,20
Cell projection,0.997461929,1,0.056767239,0.166119988,0.755004103,412
Cell projection cytoplasm,0.596,1,0.070113216,-0.350537415,-0.895519463,15
Cell projection membrane,0.720833333,1,0.062800398,0.238004487,0.875199016,70
Cell projection part,0.977116705,1,0.052912985,0.181161085,0.76393685,195
Cell septum,0.220238095,0.838733553,0.129442888,0.453240863,1.222694004,18
Cell surface,0.124401914,0.730462436,0.195789002,0.267859465,1.155105156,245
Cell surface furrow,0.73294347,1,0.058843817,-0.292055661,-0.799386386,19
Cell trailing edge,0.892644135,1,0.050600424,-0.292698953,-0.638803054,8
Cell wall,0.75059952,1,0.06767604,0.212221964,0.909085957,227
Cell wall part,0.16023166,0.783414527,0.152144922,-0.419466992,-1.255322722,29
Cell wall-bounded periplasmic space,0.715976331,1,0.060509299,0.437492986,0.824355306,5
Cellular bud,0.724137931,1,0.061302608,-0.345010861,-0.792279291,10
Cellular bud neck,0.755467197,1,0.058345278,-0.35577604,-0.776466123,8
Cellular bud neck septin ring,0.755467197,1,0.058345278,-0.35577604,-0.776466123,8
Cellular bud neck septin structure,0.755467197,1,0.058345278,-0.35577604,-0.776466123,8
Cellulose microfibril,0.915520629,1,0.048897077,0.272212,0.616445495,10
Cellulose synthase complex,0.066132265,0.712172151,0.248911114,0.628126093,1.458070905,11
Cellulosome,0.037586709,0.615323982,0.321775918,-0.639186794,-1.632933289,15
Central cylinder,0.88667992,1,0.050908287,0.311692375,0.622463388,6
Central vacuole,0.266393443,0.85873256,0.118287526,0.391988249,1.134577959,24
Centralspindlin complex,0.811740891,1,0.055826472,-0.297201375,-0.747353107,14
Centriolar satellite,0.068686869,0.712172151,0.245041785,-0.770480733,-1.466302563,5
Centriole,0.254863813,0.855066398,0.117765788,-0.415625903,-1.166381383,21
Centrosome,0.984703633,1,0.044329345,-0.175317103,-0.593531462,51
Cerebellar mossy fiber,0.706114398,1,0.061169263,0.443125178,0.834967881,5
Chaperonin ATPase complex,0.342799189,0.898560504,0.101350744,-0.497147824,-1.106974263,9
Checkpoint clamp complex,0.948571429,1,0.045862034,-0.212686069,-0.635840561,28
Chiasma,0.08249497,0.712172151,0.222056046,0.49371787,1.392262718,22
Chloride channel complex,0.904572565,1,0.049991391,0.29315405,0.602141825,7
Chloroplast,0.989361702,1,0.040657934,-0.18046731,-0.719109905,157
Chloroplast ATP synthase complex,0.422845691,0.944324197,0.088359444,0.499955921,1.051216857,8
Chloroplast envelope,0.944656489,1,0.046137916,-0.200286198,-0.689664048,57
Chloroplast inner membrane,0.990548204,1,0.043537824,-0.171741453,-0.580403989,50
Chloroplast membrane,0.885496183,1,0.049093967,-0.21968519,-0.757234939,58
Chloroplast outer membrane,0.833333333,1,0.051011413,-0.239027234,-0.772389974,41
Chloroplast part,0.962546816,1,0.044418115,-0.19076014,-0.693673425,73
Chloroplast ribosome,0.839920949,1,0.053129805,-0.264451691,-0.761471691,25
Chloroplast stroma,0.896186441,1,0.053347785,0.222649166,0.729358423,43
Chloroplast thylakoid,0.802,1,0.055826472,-0.288827428,-0.756482043,17
Chloroplast thylakoid lumen,0.997979798,1,0.046230252,-0.22576341,-0.429650545,5
Chloroplast thylakoid membrane,0.748478702,1,0.059731798,-0.329228162,-0.798535221,12
Chloroplast thylakoid membrane protein complex,0.748478702,1,0.059731798,-0.329228162,-0.798535221,12
Cholinergic synapse,0.415662651,0.941867001,0.089436683,-0.385124844,-1.02716974,18
Chorion,0.539278132,0.976389121,0.078295525,0.305853564,0.943153646,33
Chromaffin granule membrane,0.883534137,1,0.051530912,-0.259804116,-0.692925763,18
Chromatin,0.937743191,1,0.047353425,-0.224890418,-0.646762867,24
Chromoplast,0.613682093,1,0.068956735,0.343600272,0.893246454,16
Chromosomal part,0.260038241,0.85873256,0.115240003,-0.319809913,-1.126799013,65
Chromosomal region,0.071698113,0.712172151,0.23112671,-0.4459403,-1.404952083,37
Chromosome,0.086042065,0.712172151,0.211400189,-0.356425346,-1.296818006,77
Chromosome passenger complex,0.58019802,0.999269431,0.070960946,-0.352992213,-0.907770337,16
Chylomicron,0.504911591,0.970522676,0.077679856,0.402497359,0.962777424,12
Chylomicron remnant,0.297131148,0.883510371,0.111011492,0.36780699,1.120020397,30
Ciliary basal body,0.977687627,1,0.047353425,-0.22427651,-0.499385318,9
Ciliary base,0.957915832,1,0.04773424,-0.27250682,-0.540886525,6
Ciliary membrane,0.765531062,1,0.058098358,0.330511014,0.767216167,11
Ciliary part,0.850746269,1,0.056059588,0.228941038,0.761723541,46
Ciliary plasm,0.322200393,0.897559826,0.103197467,0.516486576,1.127610802,9
Ciliary pocket,0.401287554,0.934767253,0.095287985,0.336578386,1.026982133,32
Ciliary pocket collar,0.412371134,0.941867001,0.091392433,-0.42988267,-1.052123321,13
Ciliary pocket membrane,0.387673956,0.922942736,0.092848121,0.527683204,1.083867434,7
Ciliary shaft,0.437869822,0.954303397,0.085535695,0.548985244,1.034436923,5
Cilium,0.981171548,1,0.048603425,0.178195799,0.64663485,66
Clathrin adaptor complex,0.223123732,0.839240952,0.130105631,-0.537026605,-1.233222212,10
Clathrin coat,0.244,0.855066398,0.12267919,-0.455431304,-1.192842403,17
Clathrin coat of coated pit,0.264413519,0.85873256,0.116739205,-0.540304205,-1.17919102,8
Clathrin coat of trans-Golgi network vesicle,0.301010101,0.890825681,0.109250039,-0.611825765,-1.164366154,5
Clathrin complex,0.960923623,1,0.042077211,-0.193247309,-0.769592907,152
Clathrin vesicle coat,0.515212982,0.971296402,0.078295525,-0.439981982,-0.979685934,9
Cleavage apparatus septin structure,0.755467197,1,0.058345278,-0.35577604,-0.776466123,8
Cleavage furrow,0.73294347,1,0.058843817,-0.292055661,-0.799386386,19
Climbing fiber,0.151329243,0.771445539,0.161978949,0.431605112,1.29103009,27
Cluster of actin-based cell projections,0.396963124,0.928371222,0.096562955,0.31730031,1.032308593,42
Coated membrane,0.265895954,0.85873256,0.114266502,-0.367365386,-1.144022553,35
Coated vesicle,0.998109641,1,0.0431902,-0.160277579,-0.592503454,86
Coated vesicle membrane,0.968164794,1,0.044152306,-0.187123102,-0.624041713,47
Collagen and cuticulin-based cuticle extracellular matrix,0.47188755,0.963907674,0.082434409,-0.367836536,-0.981059949,18
Collagen and cuticulin-based cuticle extracellular matrix part,0.47188755,0.963907674,0.082434409,-0.367836536,-0.981059949,18
Collagen beaded filament,0.307228916,0.890825681,0.107554375,-0.418449313,-1.116049714,18
Collagen sheet,0.135188867,0.732231148,0.169570644,0.668034613,1.372150859,7
Collagen trimer,0.078389831,0.712172151,0.234392647,0.430502111,1.371520399,37
Compact myelin,0.220907298,0.838733553,0.128788713,0.648660419,1.222251956,5
Complement component C1 complex,0.139097744,0.738534435,0.161978949,-0.398195995,-1.265618095,38
Complex laminated body,0.887525562,1,0.052163031,0.24561251,0.70198647,23
Complex of collagen trimers,0.435203095,0.954303397,0.08479851,0.409576937,1.007796396,13
Condensed chromosome kinetochore,0.07505071,0.712172151,0.234392647,-0.602060351,-1.460283328,12
"Condensed chromosome, centromeric region",0.07505071,0.712172151,0.234392647,-0.602060351,-1.460283328,12
Condensed nuclear chromosome outer kinetochore,0.389662028,0.923260341,0.092552886,-0.487378431,-1.063682762,8
Cone cell pedicle,0.787819253,1,0.055826472,0.339930933,0.742148605,9
Conoid,0.993914807,1,0.046601507,-0.196601942,-0.437763738,9
Contact site,0.650627615,1,0.067992259,0.252346779,0.886830921,57
Contractile actin filament bundle,0.686159844,1,0.061976274,-0.298714683,-0.855030385,23
Contractile fiber,0.247619048,0.855066398,0.118287526,-0.322390522,-1.133315108,63
Contractile fiber part,0.372360845,0.92135883,0.093145458,-0.300799258,-1.041942625,59
Contractile ring,0.875984252,1,0.051011413,0.271840711,0.680934659,14
Contractile vacuolar membrane,0.825049702,1,0.054231594,-0.324756092,-0.708766402,8
Contractile vacuole,0.553149606,0.984052474,0.07307444,-0.323986158,-0.941157426,26
Copper ion transmembrane transporter complex,0.198412698,0.821270743,0.13725078,0.464205152,1.252272031,18
Cornified envelope,0.102204409,0.72947263,0.197822021,0.67986804,1.429503512,8
Cortical Lewy body,0.381709742,0.921461634,0.093746542,-0.491656234,-1.073018885,8
Cortical actin cytoskeleton,0.142023346,0.74434538,0.163180127,-0.464718554,-1.304151319,21
Cortical cytoskeleton,0.08477842,0.712172151,0.213927855,-0.440477114,-1.371701774,35
Cortical endoplasmic reticulum,0.943579767,1,0.047069959,-0.222162805,-0.638918521,24
Cortical granule,0.690721649,1,0.064358337,0.280380344,0.858142982,31
Cortical layer of collagen and cuticulin-based cuticle extracellular matrix,0.47188755,0.963907674,0.082434409,-0.367836536,-0.981059949,18
Cortical microtubule,0.256147541,0.855066398,0.120985142,0.424131282,1.164012983,20
Cortical microtubule cytoskeleton,0.322851153,0.897559826,0.107140237,0.365153537,1.088183238,28
Costamere,0.352941176,0.902349169,0.09957912,-0.491675423,-1.094789141,9
Creatine kinase complex,0.714285714,1,0.058345278,-0.236341599,-0.858207627,74
Crystalloid,0.896761134,1,0.051218435,-0.250171928,-0.629091193,14
Curli,0.06779661,0.712172151,0.252961123,0.437267421,1.393073745,37
Cus cation efflux complex,0.147410359,0.761620186,0.161978949,0.503535341,1.328640903,17
Cuticular plate,0.992217899,1,0.044774889,-0.172117888,-0.476925905,20
Cyanelle,0.690721649,1,0.064358337,-0.341288834,-0.835292897,13
