pathway,pval,padj,log2err,ES,NES,size
Ensheathing process,0.785854617,1,0.055942859,0.327824402,0.742384156,10
Epididymosome,0.196819085,0.816995463,0.138022242,-0.529283214,-1.253423753,11
Epsilon DNA polymerase complex,0.06693712,0.712172151,0.248911114,-0.61504598,-1.491779668,12
Etioplast,0.931034483,1,0.049590196,-0.249087594,-0.604156146,12
Eukaryotic 43S preinitiation complex,0.622718053,1,0.068632563,-0.38179796,-0.876756794,10
Eukaryotic 48S preinitiation complex,0.06693712,0.712172151,0.248911114,-0.651719068,-1.496600772,10
Eukaryotic translation elongation factor 1 complex,0.502901354,0.969659564,0.077073673,0.392619488,0.966071253,13
Eukaryotic translation initiation factor 2 complex,0.616122841,1,0.066436414,-0.262911153,-0.915559232,61
Eukaryotic translation initiation factor 2B complex,0.092485549,0.720595963,0.204294757,-0.435651195,-1.35667325,35
Eukaryotic translation initiation factor 3 complex,0.135188867,0.732231148,0.169570644,-0.573109506,-1.357211127,11
"Eukaryotic translation initiation factor 3 complex, eIF3m",0.068686869,0.712172151,0.245041785,-0.77284675,-1.470805332,5
Eukaryotic translation initiation factor 4F complex,0.130260521,0.730462436,0.173747839,-0.654204524,-1.350648498,7
Excitatory synapse,0.540130152,0.976389121,0.079343496,0.291025421,0.946825556,42
Exine,0.789690722,1,0.057975476,-0.311760158,-0.763022459,13
Exocytic vesicle,0.177865613,0.802789609,0.145516146,-0.430491703,-1.239573263,25
External encapsulating structure part,0.452229299,0.960318328,0.087831263,0.295158163,0.994542588,48
External side of plasma membrane,0.000936303,0.090946272,0.477270815,0.464463415,1.73392087,80
Extracellular core region of desmosome,0.609218437,1,0.069119846,-0.428506388,-0.884679772,7
Extracellular exosome complex,0.695067265,1,0.068151344,0.226573181,0.896862398,115
Extracellular ferritin complex,0.382624769,0.921461634,0.089436683,-0.317792692,-1.036778329,42
Extracellular matrix,0.114832536,0.730462436,0.204294757,0.266908313,1.150896747,238
Extracellular matrix component,0.133611691,0.731850503,0.175204048,0.331961343,1.215333899,69
Extracellular non-membrane-bounded organelle,0.168674699,0.792927708,0.151148761,-0.480327121,-1.281084541,18
Extrachromosomal DNA,0.791411043,1,0.057487741,0.278513938,0.796022225,23
Extrachromosomal circular DNA,0.459244533,0.960671121,0.083363407,0.516975252,1.032422324,6
Extrinsic component of cytoplasmic side of plasma membrane,0.26459144,0.85873256,0.115240003,-0.376871817,-1.140177677,30
Extrinsic component of external side of plasma membrane,0.715976331,1,0.060509299,0.436536129,0.822552328,5
Extrinsic component of membrane,0.717267552,1,0.058593757,-0.237208701,-0.86865954,81
Extrinsic component of organelle membrane,0.948310139,1,0.047829963,0.257363781,0.513966794,6
Extrinsic component of plasma membrane,0.806754221,1,0.052589895,-0.239294292,-0.794404282,46
Eyespot apparatus,0.92555332,1,0.049490487,0.233140806,0.657446838,22
F-actin capping protein complex,0.855711423,1,0.052912985,-0.336233285,-0.694175849,7
FACT complex,0.954635108,1,0.047164246,0.281212121,0.529879819,5
FAR/SIN/STRIPAK complex,0.692607004,1,0.061436411,-0.286050272,-0.86540866,30
FHF complex,0.981744422,1,0.047164246,-0.196528659,-0.476675675,12
Fatty acid beta-oxidation multienzyme complex,0.953307393,1,0.046601507,-0.211069932,-0.607016502,24
Fatty acid elongase complex,0.453280318,0.960318328,0.084074558,0.496644136,1.020112828,7
Fatty acid synthase complex,0.256292906,0.855066398,0.128788713,0.264067076,1.085120021,164
Fc receptor complex,0.841004184,1,0.055710423,0.218394102,0.792505985,66
Fc-epsilon receptor I complex,0.334004024,0.898560504,0.102449406,0.385618302,1.087426681,22
Fc-gamma receptor I complex,0.717213115,1,0.062249043,0.300504083,0.824722602,20
Fc-gamma receptor III complex,0.413385827,0.941867001,0.088626113,0.407772149,1.02142975,14
Female germ cell nucleus,0.536862004,0.975310638,0.072535186,-0.281985187,-0.952975097,50
Ferritin complex,0.619589977,1,0.074738523,0.242065699,0.924589755,98
Fertilization envelope,0.516699411,0.971296402,0.076476705,0.39618703,0.947683059,12
Fibril,0.543086172,0.978719207,0.074927882,-0.460085347,-0.949876621,7
Fibrillar collagen trimer,0.815109344,1,0.05479395,0.347420817,0.713606395,7
Fibrillary inclusion,0.21242485,0.831289379,0.132846301,-0.598609215,-1.235868307,7
Fibrinogen complex,0.002179699,0.141244033,0.431707696,0.838896784,1.723103744,7
Filamentous actin,0.196819085,0.816995463,0.138022242,0.635349193,1.268820293,6
Filopodium,0.205944798,0.831289379,0.139599673,0.385172451,1.187747484,33
Filopodium membrane,0.88667992,1,0.050908287,0.304185606,0.62480077,7
Filtration diaphragm,0.984220907,1,0.045770446,0.24123512,0.454552319,5
Flotillin complex,0.934911243,1,0.048118399,0.297575758,0.560713343,5
Focal adhesion,0.021676089,0.489541555,0.352487858,-0.485025634,-1.547848331,39
Food vacuole,0.118852459,0.730462436,0.184706471,0.454299722,1.314933428,24
Formate dehydrogenase complex,0.975471698,1,0.044152306,-0.196292075,-0.618425739,37
Fumarate reductase complex,0.651574803,1,0.064940768,0.342249515,0.857301896,14
Fusome,0.827037773,1,0.054120057,-0.323230498,-0.705436858,8
G-protein coupled receptor complex,0.769722814,1,0.060771945,0.221998741,0.849315593,90
GABA-ergic synapse,1,1,0.045224744,-0.140624766,-0.398740592,22
GAIT complex,0.636363636,1,0.061302608,-0.241144691,-0.917941207,104
GARP complex,0.647969052,1,0.064358337,-0.287971152,-0.882794197,31
GCH1 complex,0.599229287,1,0.067992259,-0.295664074,-0.920373378,36
GET complex,0.253438114,0.855066398,0.118815039,0.549884221,1.200525659,9
GID complex,0.148073022,0.762340613,0.163180127,-0.548502151,-1.330379163,12
GINS complex,0.124248497,0.730462436,0.178219875,-0.655872763,-1.354092688,7
GMP reductase complex,0.032196189,0.572852638,0.321775918,0.645968107,1.545161715,12
GO:0000793,0.070038911,0.712172151,0.237793834,-0.504540307,-1.451008624,24
GO:0000794,0.250497018,0.855066398,0.120433372,0.594156684,1.220404734,7
GO:0000805,0.649895178,1,0.068151344,0.259214727,0.894831425,52
GO:0000806,0.415322581,0.941867001,0.089710465,0.349152957,1.026358884,25
GO:0005667,0.84139265,1,0.052057003,0.284029133,0.69887611,13
GO:0031975,0.413333333,0.941867001,0.086794976,-0.331950126,-1.03469802,34
GO:0042603,0.126789366,0.730462436,0.178219875,0.449870261,1.285776677,23
GO:0043657,0.917171717,1,0.050092287,-0.318763986,-0.606640023,5
GO:0097525,0.855711423,1,0.052912985,-0.336619264,-0.694972728,7
GO:0098791,0.704672897,1,0.058718588,-0.234875255,-0.872246482,88
GO:0098796,0.010723907,0.349407434,0.380730401,0.303728747,1.334722385,278
GO:0098798,0.012880135,0.380198815,0.380730401,0.45386194,1.529298813,48
GO:0098800,0.064853556,0.712172151,0.257206466,0.429030531,1.396417445,40
GO:0098803,0.078556263,0.712172151,0.234392647,0.445144936,1.372683268,33
GPI-anchor transamidase complex,0.731313131,1,0.060640401,-0.40939144,-0.77911321,5
GTPase activator complex,0.498969072,0.969659564,0.080858915,-0.400400863,-0.979967593,13
Galectin complex,0.776744186,1,0.064503125,0.219997549,0.879296175,143
Gas vesicle,0.385395538,0.922942736,0.094356364,-0.461259332,-1.059231048,10
Germ tube,0.503131524,0.969659564,0.081080206,0.29328504,0.970745746,44
Germinal vesicle,0.536862004,0.975310638,0.072535186,-0.281985187,-0.952975097,50
Giant axon,0.656441718,1,0.066436414,0.318877417,0.865250505,19
Gin4 complex,0.755467197,1,0.058345278,-0.35577604,-0.776466123,8
Glial cell projection,0.459566075,0.960671121,0.082896213,0.539734176,1.017005405,5
Glial cytoplasmic inclusion,0.232283465,0.848213052,0.125033368,-0.404623105,-1.17540219,26
Glial filament,0.362704918,0.914292501,0.09854998,0.388967228,1.067506509,20
Glucose transporter complex,0.126168224,0.730462436,0.19189224,0.298826467,1.183729843,124
Glucosidase II complex,0.970472441,1,0.046322779,-0.207924558,-0.604006489,26
Glucosidase complex,0.567287785,0.99105312,0.074362538,0.290869338,0.924707468,36
Glutamate decarboxylase complex,0.661508704,1,0.063359701,0.340633164,0.838154797,13
Glutamate dehydrogenase complex,0.032240162,0.572852638,0.321775918,0.367945231,1.411307324,89
Glutamate synthase complex,0.785425101,1,0.057366743,-0.306156911,-0.769873016,14
Glutamatergic synapse,0.951267057,1,0.046788297,-0.21719531,-0.637327783,27
Glutaminase complex,0.394683027,0.926137808,0.093444922,0.366339659,1.047037404,23
Glutathione hydrolase complex,0.126760563,0.730462436,0.176694269,0.519728471,1.351121206,16
Glutathione synthase complex,0.997979798,1,0.046230252,-0.224466338,-0.427182086,5
Glycine cleavage complex,0.900793651,1,0.050092287,0.254387647,0.686253769,18
Glycocalyx,0.211297071,0.831289379,0.136490438,0.323216454,1.156383702,64
Glycolate oxidase complex,0.442885772,0.955977139,0.085784441,0.43503429,1.009846347,11
Glycoprotein Ib-IX-V complex,0.826666667,1,0.052163031,-0.233111923,-0.790880539,52
Glycoprotein network,0.829317269,1,0.054455595,-0.276948489,-0.738651667,18
Glycosome,0.525751073,0.971296402,0.080202344,0.313806868,0.957500721,32
Glyoxysomal membrane,0.190569745,0.816887194,0.139599673,0.589237478,1.286443007,9
Glyoxysome,0.867446394,1,0.051011413,-0.248623241,-0.729548435,27
Golgi apparatus,0.576388889,0.999269431,0.064794337,-0.233628776,-0.956747663,184
Golgi apparatus part,0.998302207,1,0.038241682,-0.166216666,-0.705590414,278
Golgi cisterna,0.614035088,1,0.067362387,-0.30345477,-0.890443517,27
Golgi cisterna membrane,0.467326733,0.963907674,0.082205492,-0.349939067,-0.992249904,22
Golgi lumen,0.895615866,1,0.052697309,0.21926523,0.725747173,44
Golgi membrane,0.949565217,1,0.041655677,-0.19256137,-0.793649917,203
Golgi stack,0.554913295,0.985986184,0.071827629,-0.304188573,-0.946909308,36
Golgi to ER transport vesicle,0.751491054,1,0.058593757,-0.334088307,-0.791172303,11
Golgi trans cisterna,0.581740977,0.999269431,0.074362538,0.276728663,0.93244394,48
Golgi-associated vesicle,0.369402985,0.92135883,0.091968614,-0.343697353,-1.067811814,32
Golgi-associated vesicle membrane,0.522417154,0.971296402,0.075501529,-0.345302403,-0.945128195,19
Granular component,0.756646217,1,0.059603704,0.270261127,0.808413147,27
Granular vesicle,0.28256513,0.864557346,0.112843356,0.566177034,1.190454634,8
Granulocyte macrophage colony-stimulating factor receptor complex,0.95991984,1,0.047638726,-0.270163736,-0.557770896,7
Granum,0.870182556,1,0.052697309,-0.299557251,-0.66700919,9
Grb2-EGFR complex,0.565656566,0.990889016,0.073255866,-0.488143436,-0.928986203,5
Grb2-Shc complex,0.013096601,0.380198815,0.380730401,-0.766875146,-1.673672492,8
Grb2-Sos complex,0.957746479,1,0.047925897,0.221211005,0.623805322,22
GroEL-GroES complex,0.34194831,0.898560504,0.100279107,-0.508752033,-1.110329742,8
Growing cell tip,0.550098232,0.982221965,0.073255866,0.412683566,0.934554411,10
Growth cone,0.921001927,1,0.04773424,-0.226134314,-0.703934026,36
Growth cone filopodium,0.376278119,0.92135883,0.096240602,0.387469562,1.051370266,19
Growth cone lamellipodium,0.85801217,1,0.053347785,-0.28081615,-0.681113016,12
Growth hormone receptor complex,0.114173228,0.730462436,0.184706471,-0.459009688,-1.333391461,26
Gut granule,0.248508946,0.855066398,0.120985142,-0.546526492,-1.192770897,8
H zone,0.455795678,0.960671121,0.083129129,0.417680602,0.999095883,12
H-NS complex,0.761702128,1,0.061169263,0.254311574,0.816957505,38
HCN channel complex,0.870182556,1,0.052697309,-0.299872314,-0.667710724,9
HDA1 complex,0.958250497,1,0.047353425,-0.248093534,-0.541453619,8
HICS complex,0.151277014,0.771445539,0.158514105,0.558423918,1.335755202,12
HIR complex,0.492842536,0.969449162,0.081080206,0.32584243,0.9746696,27
HOPS complex,0.720250522,1,0.062939469,0.257592228,0.856419127,45
HSP90-CDC37 chaperone complex,0.066132265,0.712172151,0.248911114,-0.732449304,-1.453805663,6
HULC complex,0.131212724,0.731414046,0.172324345,0.671611704,1.379498246,7
Haustorium,0.239915074,0.855066398,0.128142917,0.335450312,1.130307959,48
Heavy chain immunoglobulin complex,0.69979716,1,0.062939469,-0.354262959,-0.81352571,10
Hedgehog signaling complex,0.972762646,1,0.045679041,-0.198985764,-0.558418734,21
Heparanase complex,0.894849785,1,0.054008827,0.232395599,0.709095231,32
Herring body,0.635270541,1,0.067051258,-0.433857685,-0.861144596,6
Heterotrimeric G-protein complex,0.539553753,0.976389121,0.07588869,-0.412829735,-0.948017834,10
Hippocampal mossy fiber,0.821073559,1,0.054455595,-0.329569839,-0.719272201,8
Histone H3-K14 acetyltransferase complex,0.001640311,0.133529535,0.455059867,-0.597936457,-1.833012892,31
Histone acetyltransferase complex,0.234343434,0.848623355,0.126253988,-0.64892324,-1.234966391,5
Histone locus body,0.172131148,0.797210033,0.151148761,0.455436857,1.263332451,21
Histone methyltransferase complex,0.610547667,1,0.069613344,-0.385538741,-0.885347085,10
Host,0.917171717,1,0.050092287,-0.318763986,-0.606640023,5
Hyaline inclusion,0.137295082,0.73815105,0.170932335,0.46970406,1.289085826,20
Hyaluranon cable,0.982107356,1,0.046230252,-0.202693065,-0.480008236,11
Hydrogenosome,0.5,0.969659564,0.080419997,0.347581889,0.964154467,21
Hyphal cell wall,0.306163022,0.890825681,0.107140237,0.5820611,1.162401627,6
Hyphal tip,0.801687764,1,0.058345278,0.245754136,0.793616399,39
Hypolemmal cisterna,0.548323471,0.981458597,0.073621274,0.508371145,0.957908957,5
I band,0.107212476,0.730462436,0.190023305,-0.458607966,-1.345717816,27
IHF-DNA complex,0.307539683,0.890825681,0.106729884,0.419689995,1.132184856,18
INA complex,0.520874751,0.971296402,0.076674687,-0.39879075,-0.944397602,11
IgA B cell receptor complex,0.681908549,1,0.063219117,0.410446508,0.843061898,7
IgA immunoglobulin complex,0.414829659,0.941867001,0.089436683,0.504621283,1.061026337,8
IgD B cell receptor complex,0.785992218,1,0.055479331,-0.277531788,-0.798154304,24
IgD immunoglobulin complex,0.791828794,1,0.055135176,-0.275607527,-0.792620319,24
IgE B cell receptor complex,0.63562753,1,0.067518895,-0.345416854,-0.86859746,14
IgE immunoglobulin complex,0.702970297,1,0.061570676,-0.320888924,-0.825212103,16
IgG B cell receptor complex,0.729508197,1,0.061436411,0.293873815,0.815174095,21
IgG immunoglobulin complex,0.832951945,1,0.060378636,0.210622756,0.865503467,164
IgM B cell receptor complex,0.990530303,1,0.043625124,-0.166034711,-0.529861791,39
IgM immunoglobulin complex,0.998151571,1,0.042161943,-0.147191773,-0.480203745,42
"Immunoglobulin complex, circulating",0.522417154,0.971296402,0.075501529,-0.327249912,-0.960266871,27
Immunological synapse,0.866,1,0.052269332,-0.268463386,-0.703145586,17
Inclusion body,0.645290581,1,0.066284219,0.372784155,0.865344929,11
Inhibin A complex,0.251072961,0.855066398,0.125639921,0.3781107,1.153707278,32
Inhibin B complex,0.108606557,0.730462436,0.193813303,0.488710914,1.341249452,20
Inhibin complex,0.325726141,0.897764936,0.105920293,0.307539503,1.066428371,53
Inner acrosomal membrane,0.094,0.722792947,0.206587923,-0.545102239,-1.392575065,15
Inner dynein arm,0.839679359,1,0.053787281,-0.352562704,-0.699785846,6
Inner membrane complex,0.458049887,0.960671121,0.090824142,0.25834684,1.000414309,104
Inner mucus layer,0.955555556,1,0.048214971,-0.292659772,-0.55696107,5
Insulin receptor complex,0.082802548,0.712172151,0.227987203,0.406826426,1.370811507,48
Integral component of Golgi membrane,0.546168959,0.980010065,0.073621274,0.416297582,0.942738633,10
Integral component of endoplasmic reticulum membrane,0.087048832,0.712172151,0.222056046,0.439378242,1.354900643,33
Integral component of lumenal side of endoplasmic reticulum membrane,0.68172888,1,0.062661823,0.368149673,0.833703905,10
Integral component of mitochondrial inner membrane,0.487179487,0.967057919,0.079770592,0.52825636,0.995378091,5
Integral component of mitochondrial membrane,0.965931864,1,0.047353425,0.227924039,0.529080727,11
Integral component of mitochondrial outer membrane,0.901010101,1,0.050908287,-0.330493263,-0.628962021,5
Integral component of organelle membrane,0.394736842,0.926137808,0.092848121,0.352534615,1.045834643,26
Integral component of plasma membrane,0.394299287,0.926137808,0.102449406,0.233234566,1.0237255,273
Integrin alpha1-beta1 complex,0.078674948,0.712172151,0.23112671,0.425531306,1.352813535,36
Integrin alpha2-beta1 complex,0.926160338,1,0.051635596,0.209443119,0.724336996,54
Integrin alpha3-beta1 complex,0.886128364,1,0.052805005,0.210547384,0.75242851,62
Integrin alpha4-beta1 complex,0.952991453,1,0.050908287,0.192024862,0.704999916,73
Integrin alpha4-beta7 complex,0.182377049,0.802789609,0.146416238,0.452544226,1.241991281,20
Integrin alpha5-beta1 complex,0.580375783,0.999269431,0.073621274,0.252300251,0.939785081,77
Integrin alpha6-beta1 complex,0.981171548,1,0.048603425,0.177702683,0.625918597,58
Integrin alpha6-beta4 complex,0.100208768,0.722792947,0.204294757,0.402525815,1.332322381,44
Integrin alpha7-beta1 complex,0.586065574,1,0.072179797,0.326742345,0.906347832,21
Integrin alpha8-beta1 complex,0.157057654,0.775571589,0.156312403,0.668842733,1.335708366,6
Integrin alpha9-beta1 complex,0.884462151,1,0.051114795,0.262954929,0.693839431,17
Integrin alphaE-beta7 complex,0.120240481,0.730462436,0.181383128,0.590455292,1.370625565,11
Integrin alphaIIb-beta3 complex,0.827659574,1,0.057246114,0.221205817,0.814528166,74
Integrin alphaL-beta2 complex,0.413861386,0.941867001,0.088894529,-0.40361608,-1.037956905,16
Integrin alphaM-beta2 complex,0.56352459,0.990889016,0.074175897,0.322333656,0.932968432,24
Integrin alphaX-beta2 complex,0.865731463,1,0.052375908,0.318164578,0.668978912,8
Integrin alphav-beta1 complex,0.582150101,0.999269431,0.072003314,-0.401279464,-0.921493914,10
Integrin alphav-beta3 complex,0.544885177,0.980010065,0.076873673,0.262452446,0.960856924,69
Integrin alphav-beta5 complex,0.675965665,1,0.067362387,0.29003185,0.884957384,32
Integrin alphav-beta6 complex,0.352,0.902349169,0.098890301,-0.410771902,-1.075872779,17
Integrin complex,0.033112195,0.574338908,0.321775918,0.562586117,1.517671349,18
Intercalated disc,0.861386139,1,0.052057003,-0.273986037,-0.704594572,16
Interchromatin granule,0.360557769,0.910455233,0.097215081,0.40488342,1.068335485,17
Interferon regulatory factor 3 complex,0.091439689,0.720595963,0.206587923,-0.49992798,-1.402960414,21
Interferon regulatory factor 5 complex,0.254473161,0.855066398,0.119348441,0.60798617,1.214175133,6
Interferon regulatory factor 7 complex,0.534836066,0.975310638,0.076873673,0.341330171,0.946812879,21
Interferon regulatory factor complex,0.104761905,0.72947263,0.190023305,-0.455086092,-1.360513164,28
Intermediate filament,2.76E-07,0.000142814,0.67496286,0.737172145,2.299200954,34
Intermediate filament cytoskeleton,0.280898876,0.864557346,0.108820127,-0.334096273,-1.114186371,47
Internode region of axon,0.311023622,0.893316983,0.105520937,0.452840367,1.134321271,14
Interphotoreceptor matrix,0.925343811,1,0.048408762,0.261997078,0.593313,10
Interstitial matrix,0.333996024,0.898560504,0.101713902,0.570371929,1.139057839,6
Intracellular canaliculus,0.141453831,0.744036938,0.164405756,0.568096709,1.358892608,12
Intracellular ferritin complex,0.657640232,1,0.063642408,0.343351106,0.844842509,13
Intracellular immature spore,0.796,1,0.056176659,-0.293786542,-0.750537759,15
Intracellular non-membrane-bounded organelle,0.139344262,0.738534435,0.150169802,-0.258623516,-1.132600212,374
Intracellular organelle lumen,0.342013889,0.898560504,0.092259726,-0.253265692,-1.039084417,190
Intracellular organelle part,0.069692058,0.712172151,0.216542837,-0.271644782,-1.189680024,368
Intracellular ribonucleoprotein complex,0.021839534,0.489541555,0.352487858,-0.358342696,-1.424139862,143
Intracellular vesicle,0.418230563,0.943162444,0.106323256,0.220645421,1.00654643,452
Intramolecular phosphotransferase complex,0.166,0.792927708,0.152144922,-0.490223485,-1.283968307,17
Intrinsic component of Golgi membrane,0.621242485,1,0.068151344,0.379436107,0.880786125,11
Intrinsic component of cell outer membrane,0.099009901,0.722792947,0.199915231,-0.491860681,-1.394667699,22
Intrinsic component of endoplasmic reticulum membrane,0.062111801,0.712172151,0.261663522,0.447841076,1.412903777,35
Intrinsic component of external side of plasma membrane,0.055666004,0.705316002,0.271288555,0.729456488,1.498312104,7
Intrinsic component of mitochondrial inner membrane,0.487179487,0.967057919,0.079770592,0.52825636,0.995378091,5
Intrinsic component of mitochondrial membrane,0.916500994,1,0.049391011,-0.265361666,-0.628417087,11
Intrinsic component of mitochondrial outer membrane,0.511022044,0.971296402,0.078089231,-0.49609716,-0.984680928,6
Intrinsic component of organelle membrane,0.559748428,0.987006411,0.075694631,0.31559886,0.940506814,28
Intrinsic component of periplasmic side of cell outer membrane,0.099009901,0.722792947,0.199915231,-0.491860681,-1.394667699,22
Intrinsic component of plasma membrane,0.345410628,0.899635139,0.111918316,0.234672906,1.035903348,288
Intrinsic component of the cytoplasmic side of the plasma membrane,0.307070707,0.890825681,0.10797236,-0.605356698,-1.152054865,5
Inward rectifier potassium channel complex,0.028951471,0.535168238,0.352487858,0.672284942,1.522442155,10
Ion channel complex,0.836065574,1,0.055021112,0.246576406,0.75085741,30
Ire1 complex,0.378787879,0.92135883,0.091392433,-0.326272176,-1.041222997,39
Iridosome,0.169734151,0.792927708,0.152144922,0.469633637,1.274316464,19
Isoamylase complex,0.274747475,0.864557346,0.115240003,-0.625017033,-1.189470467,5
Isw1 complex,0.412121212,0.941867001,0.090263548,-0.557349196,-1.060691747,5
Katanin complex,0.809330629,1,0.056059588,-0.306162514,-0.742590031,12
Keratin filament,5.39E-06,0.001308377,0.610526878,0.836247952,2.094720147,14
Keratohyalin granule,0.000638066,0.071512526,0.477270815,0.715551416,1.930321156,18
Kibra-Ex-Mer complex,0.025841262,0.514363481,0.352487858,-0.819415688,-1.559430718,5
Kinesin I complex,0.017413926,0.430035427,0.352487858,-0.65754943,-1.653497095,14
Kinesin II complex,0.559118236,0.987006411,0.073438141,0.398069932,0.924040876,11
Kinesin complex,0.152129817,0.771445539,0.160801401,-0.591152801,-1.316290457,9
Kinetochore,0.217898833,0.837960494,0.128788713,-0.430868958,-1.193905933,20
Kinetochore microtubule,0.588693957,1,0.069448144,-0.333011434,-0.911486547,19
Kinetoplast,0.194274029,0.816995463,0.14122512,0.407691092,1.21949776,27
Kir2 inward rectifier potassium channel complex,0.028951471,0.535168238,0.352487858,0.672284942,1.522442155,10
L-cysteine desulfurase complex,0.840466926,1,0.052375908,-0.261473749,-0.724524371,20
L-type voltage-gated calcium channel complex,0.778210117,1,0.055942859,-0.286544465,-0.793993466,20
LUBAC complex,0.54969574,0.982221965,0.074927882,-0.380232294,-0.922244553,12
LYSP100-associated nuclear domain,0.916309013,1,0.052912985,0.225014477,0.686573642,32
Lamellar body,0.701789264,1,0.061840604,0.410090815,0.818969401,6
Lamellipodium,0.45,0.959956076,0.087051587,0.27598183,1.007385205,68
Lamellipodium membrane,0.245579568,0.855066398,0.120985142,0.555196213,1.212122977,9
Lamin filament,0.190569745,0.816887194,0.139599673,0.589763408,1.287591235,9
Lamina densa,0.104627767,0.72947263,0.195789002,0.476482285,1.343659125,22
Lamina lucida,0.014457187,0.390076327,0.380730401,0.627209395,1.654970345,17
Lamina reticularis,0.708661417,1,0.060903935,0.324533032,0.812923821,14
Laminated body,0.669291339,1,0.063642408,-0.29900726,-0.868595451,26
Laminin complex,0.952662722,1,0.047258734,0.282727273,0.532734775,5
Large latent transforming growth factor-beta complex,0.750511247,1,0.05998925,0.287541012,0.821822556,23
Large ribosomal subunit,0.116600791,0.730462436,0.183023938,-0.464184222,-1.336588709,25
Late endosome,0.516666667,0.971296402,0.079556468,0.265081631,0.974768104,70
Late endosome membrane,0.777070064,1,0.060118614,0.258716903,0.797799401,33
Lateral loop,0.137014315,0.73815105,0.170932335,0.483565111,1.312118496,19
Lateral plasma membrane,0.609284333,1,0.067362387,0.363169168,0.893606415,13
Leading edge membrane,0.919172932,1,0.046694804,-0.222780012,-0.708079483,38
Leaflet of membrane bilayer,0.423228346,0.944324197,0.087309826,0.405125518,1.014800195,14
Leucoplast,0.324649299,0.897559826,0.103958472,0.541339127,1.138229976,8
Lewy body-like hyaline inclusion,0.726,1,0.060509299,-0.314850084,-0.804348882,15
Lewy neurite,0.085020243,0.712172151,0.219250347,-0.554235882,-1.393701186,14
Lipid particle,0.331967213,0.898560504,0.103958472,0.397968066,1.103920257,21
Lipid tube,0.637274549,1,0.066896628,-0.419063997,-0.865185331,7
Lipopolysaccharide receptor complex,0.53,0.971296402,0.076083716,-0.372362493,-0.951276083,15
Lipoprotein particle,0.234285714,0.848623355,0.12210792,-0.375565406,-1.170648093,34
Lobed nucleus,0.675456389,1,0.064648457,-0.382451685,-0.851586091,9
Lsd1/2 complex,0.842209073,1,0.052912985,0.364530757,0.686874701,5
Lumenal side of endoplasmic reticulum membrane,0.751503006,1,0.058969447,0.338569226,0.785921716,11
Lysosomal lumen,0.966037736,1,0.044596162,-0.195886137,-0.638245996,43
Lysosomal matrix,0.054108216,0.703889923,0.276500599,0.642816174,1.492171033,11
Lysosomal membrane,0.774058577,1,0.059603704,0.225856679,0.855312696,84
Lysosome,0.993006993,1,0.053021251,0.157943618,0.656850885,187
Lytic vacuole,0.993006993,1,0.053021251,0.157943618,0.656850885,187
Lytic vacuole membrane,0.797040169,1,0.058718588,0.222872842,0.844386781,85
M band,0.338742394,0.898560504,0.102080108,-0.504676374,-1.123737711,9
MAD1 complex,0.254,0.855066398,0.119887845,-0.470134386,-1.201054364,15
MECO complex,0.649903288,1,0.064214088,0.344528757,0.847740212,13
MHC class I peptide loading complex,0.425357873,0.945589833,0.089164712,0.35854037,1.024746212,23
MHC class I protein complex,0.61010101,1,0.069448144,-0.46969697,-0.893880717,5
MHC protein complex,0.745526839,1,0.058969447,0.381927409,0.784483337,7
MIS complex,0.185185185,0.809131737,0.14122512,-0.417717669,-1.225731235,27
MSL complex,0.249492901,0.855066398,0.12210792,-0.489352075,-1.186912035,12
Macrolide transmembrane transporter complex,0.769539078,1,0.057852976,-0.380740578,-0.75571484,6
Macronucleus,0.118811881,0.730462436,0.181383128,-0.482544877,-1.368252799,22
Macropinocytic cup,0.997938144,1,0.047164246,-0.165166576,-0.404239619,13
Macropinosome,0.133611691,0.731850503,0.175204048,0.38354831,1.269508632,44
Main axon,0.908910891,1,0.049590196,-0.255572378,-0.657241194,16
Male pronucleus,0.128712871,0.730462436,0.173747839,-0.47138459,-1.336607879,22
Maltose transport complex,0.161033797,0.783610642,0.154190967,0.665522192,1.329077101,6
Manchette,0.108606557,0.730462436,0.193813303,0.440302352,1.340778258,30
Mannosyltransferase complex,0.280155642,0.864557346,0.111462667,-0.405856587,-1.138965506,21
Mast cell granule,0.866404715,1,0.051426492,0.30126382,0.682235628,10
Mating projection,0.521912351,0.971296402,0.076674687,0.368908919,0.947126629,15
Mating projection tip,0.470588235,0.963907674,0.083129129,-0.449093582,-0.999974281,9
Medial cortex,0.933202358,1,0.048022042,0.248955484,0.595503832,12
Median body,0.476653696,0.964915581,0.080202344,-0.338854334,-0.974511955,24
Megasome,0.859960552,1,0.051951248,0.352983059,0.665115708,5
Melanosome,0.98125,1,0.048408762,0.182667351,0.666769935,68
Membrane,0.172354949,0.797210033,0.136490438,-0.261220619,-1.123764558,318
Membrane attack complex,0.070140281,0.712172151,0.241339977,-0.728139167,-1.445250667,6
Membrane coat,0.263969171,0.85873256,0.114750719,-0.362251815,-1.127654509,36
Membrane microdomain,1,1,0.040166098,-0.115583129,-0.440190803,102
Membrane raft,1,1,0.040166098,-0.115583129,-0.440190803,102
Membrane region,0.995485327,1,0.051426492,0.157226968,0.630706496,132
Membrane stack,0.311871227,0.893316983,0.106729884,0.430808248,1.119958195,16
