Reference,Protein.Accession,GeneName,S01_41,S03_28,S05_51,S07_43,S09_24,S11_21,S13_52,S15_11,S17_14,S19_55,S02_44,S04_31,S06_60,S08_46,S10_26,S12_25,S14_53,S16_13,S18_16,S20_50,T01_42,T03_54,T05_27,T07_15,T09_39,T11_12,T13_29,T15_18,T17_47,T19_58,T02_40,T04_57,T06_30,T08_10,T10_38,T12_17,T14_22,T16_19,T18_48,T20_59,Accession_primary
sp|P02749|APOH_HUMAN,P02749,APOH,10382712.65,4425217.95,15041033.06,2770302.468,9075425.278,6875386.687,4621603.901,6962074.283,5768268.045,3375374,11664277.2,5364326.124,7494763.793,3512418.128,14134220.04,14777075.79,10850720,11313328.77,3227700.536,4375270.419,17517416.99,6083841.695,17272299.43,12392593.45,6687637.05,8571306.909,7468472.319,6243824.853,3738841.6,9457037.546,16154783.07,11060973.8,13665621.68,10050049.52,5564052.742,11526432.58,6913148.276,19647843.14,2349290.249,17231011.46,P02749
sp|P02750|A2GL_HUMAN,P02750,LRG1,894794.5065,456087.7752,1347893.354,419887.9908,942923.3808,791731.3607,679639.4357,1163818.901,539723.1045,278660,1034055.596,399014.4169,611166.931,332085.4167,1209126.374,1707347.201,1363180,1857576.613,333435.7637,352098.2194,4371366.331,875210.2646,1695225.168,1183874.041,754883.9369,1095523.084,880505.3099,1020591.843,289258.3333,1140571.509,1349879.377,1369401.943,1124308.302,788454.8936,404919.7625,1293712.538,789161.0345,2589278.769,323263.0499,1310628.062,P02750
sp|P02751|FINC_HUMAN,P02751,FN1,1654797435,1701069172,1855572926,1625812035,1804745311,1470074408,1944351662,1943808537,1169800259,1062700679,1658994249,2125101237,2056223907,2410408669,1581848918,1808926299,2674944290,2680316144,3142310126,1912809397,1277169620,1210914807,1640066878,832060266.9,1268193082,2064079151,1468679222,926137951.4,679117517.5,562004078,1996907681,3022437587,2354957688,2707144272,1726349565,2102222818,1859623723,2055036614,2530623862,1825140075,P02751
sp|P02753|RET4_HUMAN,P02753,RBP4,296888353.8,164829213.3,286232336.4,118319980.1,229783471.8,208866883.1,173342701.5,197364119.3,213694416.1,143980300,360504378.8,175799298.5,279825393.4,118702905.8,214752542,269123330,254966100,234292746.8,211242380.1,201432604,154222724.7,111271932,294720438.5,253140482.6,168611906.8,229455520.8,226208245.4,135768182.8,174046458.3,296644226.2,259854332.1,235749259.4,363074204.5,280599852.3,139403198.5,259035193.3,201955542.9,185903058.1,109944619.4,251333118.8,P02753
sp|P02760|AMBP_HUMAN,P02760,AMBP,728977018.4,1009477787,730979789.4,670252081.4,758325148.4,834725833.5,790630623.4,869156917.9,1218174221,923608750,648698740.9,844643553.8,675945570.7,615105781.5,646324751.8,881866723,835955240,892644221.7,1057340297,895520397.8,723872860.1,699809133.7,565418191,670579768.1,798434691,920081789,647852357.5,947553846.6,1025388138,820207844.5,687260866.5,818572012.5,808484722.9,827056725.7,703210241.8,925548315.7,882920582.9,761841959.8,964674349.4,715270324.1,P02760
sp|P02763|A1AG1_HUMAN,P02763,ORM1,9012781.708,6660096.934,9713267.816,5506651.992,11267346.18,6426078.893,11456863.37,9178653.645,5456804.597,6106893,9634530.52,8049936.532,6417432.897,3526366.533,11977169.52,9562114.107,11086620,12845465.5,3304950.259,5799603.532,25921410.24,8423706.484,12628641.78,12246122.71,8503521.787,9398280.012,6311936.82,11005205.69,4231894.463,10963641.44,9403878.868,13731009.33,9502243.911,9705952.135,6817201.236,9639433.313,3388047.987,18619748.1,1882298.182,11586699.09,P02763
sp|P02765|FETUA_HUMAN,P02765,AHSG,8957089.737,5479676.745,7566108.576,4570708.43,7837869.171,6295552.073,6946680.947,7261369.312,6655035.761,3709410,12180052.71,9161885.277,6272604.241,5027796.891,12704050.42,14572735.94,9811690,13710969.24,6813751.527,5584937.823,14228366.57,5754027.566,8500741.584,9564308.525,5112567.553,6199195.941,5976272.214,7490062.324,4464599.748,6149941.044,13876577.21,11262379.79,8810729.16,10039026.16,6252557.623,8890629.819,6123881.599,19556179.21,4228025.718,13357712.56,P02765
sp|P02766|TTHY_HUMAN,P02766,TTR,333908103.8,202820552.4,280810688.9,177529051.1,248241861.1,230802831.9,212434045.7,239693776,269269337.6,206492100,376474868.5,195775916,217826922.4,146687318.7,253265193.9,308530088.2,284017100,326445746.3,232073738.9,218915180.6,243183321.1,155328091.9,266141740.7,297144610.5,224532057,275383616.7,253173907.4,184262364.1,229353049.4,286517304.9,309592383.9,299853118.3,288569458.3,299085750.3,168809526.8,299702958.3,221282334.5,221220967.8,165370446,229960368.5,P02766
sp|P02768|ALBU_HUMAN,P02768,ALB,1179617996,415809124.6,1305920783,340014700.4,878012095.3,650549455.2,437409857.7,1391195535,431863677.2,348524285,1377088968,568082733.4,804331647.3,381893890.9,1462222098,1315114914,892090080,2126752354,288211810.7,465130390.6,1955740252,522478646,1461465241,1161081588,632832536.7,765883037.7,778516129.8,718147029.7,383365847.2,963624720.6,1742658625,1119603155,1191836628,1249672004,626712747.4,1018792204,648270440.9,1880594483,192107108.9,1678608549,P02768
sp|P02774|VTDB_HUMAN,P02774,GC,11139631.13,7370080.152,13009176.87,4754083.516,9633038.051,10287219.85,8164265.718,14091820.43,7874513.216,8009637.1,14224346.26,9090576.719,9831643.81,5776781.486,14991195.57,16757712.39,10949390,19501805.63,5927294.879,8185510.302,21233818.74,7794338.063,15326450.02,13374689.99,9850846.606,12762749.45,9724505.972,10026689.41,6617256.985,10901519.36,15346030.77,12156894.37,11447048.37,12638199.9,7978276.48,12954100.61,8418964.636,18878203.84,5119391.707,16768958.41,P02774
