Protein,Uniprot accession
CD9,P21926
CD63,P08962
FLOT1,O75955
FLOT2,Q14254
TSG101,Q99816
NCAM1,P13591
CD40,P25942
ATP5F1A,P25705
HSP90B1,P14625
ANXA5,P08758
