Protein,Uniprot accession
ALB,P02768
TF,P13726
A2M,P01023
SERPINA1,P01009
ORM1,P02763
HP,P00738
APOA1,P02647
APOA2,P02652
APOB,P04114
APOC1,P02654
APOD,P05090
HBA1,P69905
HBB,P68871
